,SDSS_NAME,RA,DEC,PLATE,MJD,FIBERID,AUTOCLASS_PQN,Z,BAL_PROB,BI_CIV,AI_CIV
1984,114459.39+201859.1,176.2474979925016,20.31642738954988,6432,56309,351,QSO,2.118,0.0,0.0,0.0
1985,003148.86+191530.2,7.953612522919798,19.258400252816337,7588,56903,548,QSO,1.5790282487869263,0.0,0.0,0.0
1986,234836.02+243839.2,357.15009414927283,24.644226216365844,7667,57580,142,QSO,2.0099215507507324,0.0,0.0,0.0
1987,234951.66+104730.7,357.46526983313856,10.791869983273191,6159,56214,700,QSO,2.912,0.0,0.0,0.0
1988,093142.06+022530.4,142.92527374479045,2.4251169269985344,4742,55660,310,QSO,2.963,0.0,0.0,0.0
1989,120506.64+543053.9,181.27767967836206,54.51497962098164,6688,56412,378,QSO,1.698,0.0,0.0,0.0
1990,083620.51+414827.6,129.08546242901275,41.8076850906574,8294,57365,890,QSO,2.076514959335327,0.0,0.0,0.0
1991,095544.97+261154.5,148.93740918371444,26.1984814078084,5790,56271,994,QSO,2.82,0.0,0.0,0.0
1992,112457.77+071011.0,171.2407489800531,7.169747812466987,5369,56272,48,QSO,2.382,0.0,0.0,0.0
1993,221552.56+044523.7,333.96899984344344,4.756600556704295,11341,58428,862,QSO,2.736417770385742,0.0,0.0,0.0
1994,134816.02+285125.1,207.06678954089392,28.856986325369416,6006,56105,675,QSO,3.161,0.0,0.0,0.0
1995,112403.80+395234.3,171.01586826718346,39.876199382555335,8844,57424,636,QSO,2.087937116622925,0.0,0.0,0.0
1996,105541.04+133457.2,163.92100794003196,13.582574405177878,5355,56009,208,QSO,2.696,0.0,0.0,0.0
1997,021817.60+311139.8,34.57336919000062,31.194400458955734,6606,56304,2,QSO,2.446,0.0,0.0,0.0
1998,103420.27+431121.4,158.58449232155147,43.18928867301996,8357,58157,87,QSO,1.918133020401001,0.0,0.0,0.0
1999,011434.03+155323.7,18.641811786648645,15.889928373696709,5138,55830,644,QSO,2.22,0.0,0.0,0.0
2000,120405.32+421605.9,181.02218604558743,42.268322295243635,8382,57513,798,QSO,1.9754090309143066,0.0,0.0,0.0
2001,153426.42+410804.4,233.61009950470103,41.13457197816489,5165,56063,856,QSO,2.929,0.0,0.0,0.0
2002,123957.46+543956.5,189.98945031212264,54.66570624305292,6832,56426,222,QSO,2.088,0.0,0.0,0.0
2003,133434.27+395049.8,203.64281653696554,39.84718661820628,8846,57428,604,QSO,1.8095341920852661,0.0,0.0,0.0
2004,150320.32+573030.8,225.8346682249406,57.508573937992054,8416,57894,713,QSO,2.201,0.0,0.0,0.0
2005,094559.74+172231.1,146.4989247361359,17.375330404967556,5322,56003,520,QSO,2.379,0.0,0.0,0.0
2006,235322.62+344401.9,358.3442701101317,34.7338782994789,7750,58402,478,QSO,1.833580732345581,0.0,0.0,0.0
2007,095225.50+425112.5,148.10627106881958,42.85349654457892,8286,57062,226,QSO,1.6797418594360352,0.0,0.0,0.0
2008,130649.85+052519.3,196.70771309326074,5.422034821296117,4838,55686,194,QSO,2.945,0.0,0.0,0.0
2009,170214.18+331829.5,255.5591184501958,33.30820042841101,10901,58397,845,QSO,2.0735089778900146,0.0,0.0,0.0
2010,115904.40+424654.7,179.76833344661304,42.781879836835834,8371,57786,124,QSO,1.7365474700927734,0.0,0.0,0.0
